Fecha,m,y,i,p,remes,tc
oct-06,368270.537000 ,91.597500 ,7.050000 ,62.006519 ,2316.524400 ,10.897100 
nov-06,395512.706000 ,91.145200 ,7.040000 ,62.331857 ,1962.802000 ,10.917700 
dic-06,449821.289000 ,90.861400 ,7.040000 ,62.692424 ,1938.724900 ,10.847900 
ene-07,409947.749000 ,88.777300 ,7.040000 ,63.016208 ,1872.929200 ,10.952900 
feb-07,399603.547000 ,85.768300 ,7.040000 ,63.192347 ,1856.778200 ,10.999800 
mar-07,409813.851000 ,91.422100 ,7.040000 ,63.329113 ,2186.523900 ,11.113900 
abr-07,400645.809000 ,89.320600 ,7.010000 ,63.291295 ,2166.564000 ,10.980600 
may-07,407228.336000 ,94.322400 ,7.240000 ,62.982534 ,2411.769400 ,10.816700 
jun-07,408726.848000 ,93.534600 ,7.200000 ,63.058170 ,2300.575500 ,10.835000 
jul-07,408166.585000 ,91.411000 ,7.190000 ,63.326005 ,2369.489200 ,10.810900 
ago-07,410822.206000 ,92.217300 ,7.200000 ,63.583996 ,2412.125100 ,11.045600 
sep-07,412441.187000 ,89.475200 ,7.210000 ,64.077703 ,2186.133400 ,11.031500 
oct-07,417007.796000 ,95.280000 ,7.200000 ,64.327405 ,2367.642800 ,10.823100 
nov-07,431863.490000 ,93.809200 ,7.440000 ,64.781221 ,1958.521700 ,10.886600 
dic-07,494743.458000 ,92.457200 ,7.440000 ,65.049056 ,1969.765700 ,10.848400 
ene-08,459689.002000 ,90.954400 ,7.420000 ,65.350564 ,1781.699600 ,10.910000 
feb-08,447828.092000 ,88.989300 ,7.430000 ,65.544834 ,1859.711600 ,10.766500 
mar-08,447711.242000 ,89.053300 ,7.430000 ,66.019891 ,2116.346500 ,10.731300 
abr-08,445503.346000 ,94.715300 ,7.440000 ,66.170127 ,2184.685400 ,10.515400 
may-08,451301.896000 ,94.864300 ,7.440000 ,66.098635 ,2371.624500 ,10.435200 
jun-08,447614.269000 ,94.455900 ,7.560000 ,66.372168 ,2264.586800 ,10.329200 
jul-08,463302.998000 ,94.159300 ,7.930000 ,66.742059 ,2183.156900 ,10.215500 
ago-08,462796.940000 ,91.493100 ,8.180000 ,67.127492 ,2097.565000 ,10.109500 
sep-08,458615.354000 ,90.576500 ,8.170000 ,67.584935 ,2113.802200 ,10.643700 
oct-08,477702.485000 ,95.506800 ,7.740000 ,68.045486 ,2637.712900 ,12.631400 
nov-08,504670.542000 ,92.042700 ,7.430000 ,68.818942 ,1752.184100 ,13.114000 
dic-08,577542.277000 ,91.895100 ,8.020000 ,69.295552 ,1781.909700 ,13.422600 
ene-09,548576.456000 ,84.895900 ,7.590000 ,69.456149 ,1572.975100 ,13.892100 
feb-09,539231.506000 ,81.841000 ,7.120000 ,69.609494 ,1810.791300 ,14.596600 
mar-09,533819.278000 ,86.873600 ,7.030000 ,70.009950 ,2115.106200 ,14.669500 
abr-09,537331.410000 ,84.310700 ,6.050000 ,70.254990 ,1794.798400 ,13.436700 
may-09,536606.477000 ,86.081600 ,5.290000 ,70.050358 ,1905.498300 ,13.162100 
jun-09,531629.602000 ,88.184300 ,4.980000 ,70.179354 ,1934.021200 ,13.341800 
jul-09,541061.603000 ,88.731700 ,4.590000 ,70.370516 ,1850.227400 ,13.365400 
ago-09,529495.386000 ,86.553600 ,4.490000 ,70.538884 ,1799.403800 ,13.008000 
sep-09,524785.931000 ,86.503700 ,4.480000 ,70.892716 ,1747.212700 ,13.421200 
oct-09,534520.513000 ,91.120500 ,4.510000 ,71.107191 ,1695.957500 ,13.225700 
nov-09,547652.896000 ,91.249000 ,4.510000 ,71.476046 ,1510.820200 ,13.109400 
dic-09,631937.880000 ,91.856200 ,4.500000 ,71.771855 ,1569.520600 ,12.863100 
ene-10,600421.918000 ,86.867000 ,4.490000 ,72.552046 ,1323.824100 ,12.801900 
feb-10,584170.708000 ,85.227200 ,4.490000 ,72.971671 ,1553.458500 ,12.942400 
mar-10,597193.947000 ,92.292200 ,4.450000 ,73.489725 ,1954.846200 ,12.573700 
abr-10,574362.947000 ,90.581800 ,4.440000 ,73.255565 ,1794.770400 ,12.230200 
may-10,582623.188000 ,92.300000 ,4.520000 ,72.793978 ,2146.206400 ,12.742800 
jun-10,577815.451000 ,93.231000 ,4.590000 ,72.771183 ,1894.886900 ,12.719300 
jul-10,593182.402000 ,92.328600 ,4.600000 ,72.929190 ,1874.440200 ,12.818900 
ago-10,584119.067000 ,91.562200 ,4.520000 ,73.131750 ,1957.735700 ,12.769500 
sep-10,588091.817000 ,90.556500 ,4.430000 ,73.515110 ,1718.960300 ,12.799700 
oct-10,590029.643000 ,93.845300 ,4.030000 ,73.968926 ,1731.032200 ,12.437400 
nov-10,605690.050000 ,95.969300 ,3.970000 ,74.561581 ,1631.894100 ,12.339100 
